-100	-100	1.00002
-100	-80	1.00002
-100	-60	1.00002
-100	-40	1.00002
-100	-20	1.00002
-100	0	1.00002
-100	20	1.00002
-100	40	1.00002
-100	60	1.00002
-100	80	1.00002
-100	100	1.00002
-80	-100	1.00002
-80	-80	1.00002
-80	-60	1.00002
-80	-40	1.00002
-80	-20	1.00002
-80	0	1.00002
-80	20	1.00002
-80	40	1.00002
-80	60	1.00002
-80	80	1.00002
-80	100	1.00002
-60	-100	1.00001
-60	-80	1.00001
-60	-60	1.00001
-60	-40	1.00001
-60	-20	1.00001
-60	0	1.00001
-60	20	1.00001
-60	40	1.00001
-60	60	1.00001
-60	80	1.00001
-60	100	1.00001
-40	-100	1.00001
-40	-80	1.00001
-40	-60	1.00001
-40	-40	1.00001
-40	-20	1.00001
-40	0	1.00001
-40	20	1.00001
-40	40	1.00001
-40	60	1.00001
-40	80	1.00001
-40	100	1.00001
-20	-100	1
-20	-80	1
-20	-60	1
-20	-40	1
-20	-20	1
-20	0	1
-20	20	1
-20	40	1
-20	60	1
-20	80	1
-20	100	1
0	-100	1
0	-80	1
0	-60	1
0	-40	1
0	-20	1
0	0	nan
0	20	1
0	40	1
0	60	1
0	80	1
0	100	1
20	-100	1
20	-80	1
20	-60	1
20	-40	1
20	-20	1
20	0	1
20	20	1
20	40	1
20	60	1
20	80	1
20	100	1
40	-100	1.00001
40	-80	1.00001
40	-60	1.00001
40	-40	1.00001
40	-20	1.00001
40	0	1.00001
40	20	1.00001
40	40	1.00001
40	60	1.00001
40	80	1.00001
40	100	1.00001
60	-100	1.00001
60	-80	1.00001
60	-60	1.00001
60	-40	1.00001
60	-20	1.00001
60	0	1.00001
60	20	1.00001
60	40	1.00001
60	60	1.00001
60	80	1.00001
60	100	1.00001
80	-100	1.00002
80	-80	1.00002
80	-60	1.00002
80	-40	1.00002
80	-20	1.00002
80	0	1.00002
80	20	1.00002
80	40	1.00002
80	60	1.00002
80	80	1.00002
80	100	1.00002
100	-100	1.00002
100	-80	1.00002
100	-60	1.00002
100	-40	1.00002
100	-20	1.00002
100	0	1.00002
100	20	1.00002
100	40	1.00002
100	60	1.00002
100	80	1.00002
100	100	1.00002
